Frente,Verso
"Love's gonna get you killed","O amor vai te matar"
"But pride's gonna be the death of you, and you and me","Mas o orgulho vai ser a morte de você, e de você e de mim"
"And you, and you, and you and me","E você, e você, e você e eu"
"And you, and you, and you and me","E você, e você, e você e eu"
"And you, and you, and-*","E você, e você, e-*"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"In another life, I surely was there","Em outra vida, eu com certeza estava lá"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"I care, I care","Eu me importo, eu me importo"
"Hell-raising, wheel-chasing, new worldly possessions","Criando confusão, perseguindo desejos, novas posses mundanas"
"Flesh-making, spirit-breaking, which one would you lessen?","Fazendo carne, quebrando espíritos, qual você diminuiria?"
"The better part, the human heart, you love 'em or dissect 'em","A melhor parte, o coração humano, você os ama ou disseca?"
"Happiness or flashiness? How do you serve the question?","Felicidade ou ostentação? Como você responde à questão?"
"See, in the perfect world, I would be perfect, world","Veja, em um mundo perfeito, eu seria perfeito, mundo"
"I don't trust people enough beyond their surface, world","Eu não confio nas pessoas além da superfície, mundo"
"I don't love people enough to put my faith in man","Eu não amo as pessoas o suficiente para colocar minha fé no homem"
"I put my faith in these lyrics, hoping I make a band","Eu coloco minha fé nessas letras, esperando formar uma banda"
"I understand I ain't perfect, I probably won't come around","Eu entendo que não sou perfeito, provavelmente não vou mudar"
"This time, I might put you down","Desta vez, talvez eu te derrube"
"Last time, I ain't give a f-, I still feel the same now","Da última vez, eu não liguei, ainda me sinto do mesmo jeito"
"My feelings might go numb","Meus sentimentos podem ficar dormentes"
"You're dealing with cold thumb","Você está lidando com frieza"
"I'm willing to give up a leg and arm to show empathy from","Estou disposto a sacrificar um braço e uma perna para mostrar empatia"
"Pity parties and functions of you and yours","Festas de pena e eventos seus e dos seus"
"A perfect world, you probably live another 24","Em um mundo perfeito, você provavelmente viveria mais 24 horas"
"I can't fake humble just 'cause your a- is insecure","Eu não posso fingir humildade só porque você é inseguro"
"I can't fake humble just 'cause your a- is insecure","Eu não posso fingir humildade só porque você é inseguro"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"In another life, I surely was there","Em outra vida, eu com certeza estava lá"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"I care, I care","Eu me importo, eu me importo"
"Maybe I wasn't there (we saw you first)","Talvez eu não estivesse lá (nós te vimos primeiro)"
"Maybe I wasn't there (I saw you first)","Talvez eu não estivesse lá (eu te vi primeiro)"
"Maybe I wasn't there (I saw you first)","Talvez eu não estivesse lá (eu te vi primeiro)"
"Maybe I wasn't there","Talvez eu não estivesse lá"
"Now, in a perfect world, I probably won't be insensitive","Agora, em um mundo perfeito, eu provavelmente não seria insensível"
"Cold as December, but never remember what winter did","Frio como dezembro, mas nunca lembro o que o inverno fez"
"I wouldn't blame you for mistakes I made or the bed I laid","Eu não culparia você pelos erros que cometi ou pela cama que fiz"
"Seems like I point the finger just to make a point, nowadays","Parece que eu aponto o dedo só para fazer um ponto, hoje em dia"
"Smiles and cold stares, the temperature goes there","Sorrisos e olhares frios, a temperatura vai lá"
"Indigenous disposition, feel like we belong here","Disposição indígena, sinto que pertencemos aqui"
"See, in a perfect world, I'll choose faith over riches","Veja, em um mundo perfeito, eu escolheria a fé em vez das riquezas"
"I'll choose work over b-, I'll make schools out of prison","Eu escolheria trabalho em vez de luxúria, faria escolas das prisões"
"I'll take all the religions and put 'em all in one service","Eu pegaria todas as religiões e colocaria todas em um único serviço"
"Just to tell 'em we ain't sh-, but He's been perfect, world","Só para dizer que não somos nada, mas Ele é perfeito, mundo"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"In another life, I surely was there","Em outra vida, eu com certeza estava lá"
"Me, I wasn't taught to share, but care","Eu, não fui ensinado a compartilhar, mas a cuidar"
"I care, I care","Eu me importo, eu me importo"
"Maybe I wasn't there (we saw you first)","Talvez eu não estivesse lá (nós te vimos primeiro)"
"Maybe I wasn't there (I saw you first)","Talvez eu não estivesse lá (eu te vi primeiro)"
"Maybe I wasn't there (I saw you first)","Talvez eu não estivesse lá (eu te vi primeiro)"
"Maybe I wasn't there","Talvez eu não estivesse lá"
